Name,Age,Name,PassQuote
"Stefan Ilsanker",NULL,"Stefan Ilsanker",78.70967741935485
"Pirmin Schwegler",NULL,"Pirmin Schwegler",76.93588676103246
"Andre Hoffmann",NULL,"Andre Hoffmann",87.4239350912779
"Patrick Erras",NULL,"Patrick Erras",79.87152034261243
Ewerton,NULL,Ewerton,84.10596026490066
"David Abraham",NULL,"David Abraham",76.87687687687688
"Benjamin Stambouli",NULL,"Benjamin Stambouli",76.35814889336015
"Marcin Kaminski",NULL,"Marcin Kaminski",83.87650085763293
"Robert Bauer",NULL,"Robert Bauer",71.30647130647131
"Karim Rekik",NULL,"Karim Rekik",88.05460750853243
"Matthias Ostrzolek",NULL,"Matthias Ostrzolek",74.70198675496688
"Timo Baumgartl","18-23","Timo Baumgartl",81.74418604651163
"Adam Bodzek",NULL,"Adam Bodzek",84.4927536231884
"Julian Baumgartlinger",NULL,"Julian Baumgartlinger",89.47750362844702
"Makoto Hasebe",NULL,"Makoto Hasebe",85.12679917751885
"Robin Koch","18-23","Robin Koch",81.77727784026997
"Niklas Moisander",NULL,"Niklas Moisander",86.14116434827409
"Kevin Vogt",NULL,"Kevin Vogt",89.2722371967655
"Tobias Strobl",NULL,"Tobias Strobl",89.98655913978494
"Sebastian Langkamp",NULL,"Sebastian Langkamp",88.64809081527348
"Mijat Gacinovic",NULL,"Mijat Gacinovic",69.9836867862969
"Manuel Gulde","24-29","Manuel Gulde",82.07762557077626
"Evan N'Dicka","18-23","Evan N'Dicka",79.24528301886792
"Stefan Posch",NULL,"Stefan Posch",87.91208791208791
"Bastian Oczipka","30-34","Bastian Oczipka",75.09293680297398
"Andreas Beck",NULL,"Andreas Beck",70.49180327868852
"Julian Weigl","18-23","Julian Weigl",92.9635761589404
"Fabian Johnson","30-34","Fabian Johnson",79.78533094812164
"Federico Palacios","24-29","Federico Palacios",81.54362416107382
"Sebastian Rudy",NULL,"Sebastian Rudy",79.3984962406015
"Enrico Valentini",NULL,"Enrico Valentini",64.80519480519482
"Dennis Aogo",NULL,"Dennis Aogo",82.26086956521739
"Marvin Plattenhardt","24-29","Marvin Plattenhardt",72.98494242692648
