Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore
Raphaël Guerreiro,Borussia Dortmund,Linkes Mittelfeld,23.0,25,6,0.0,2.0
Danny da Costa,Eintracht Frankfurt,Rechter Verteidiger,34.0,25,4,0.0,2.0
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,31,4,0.0,2.0
Achraf Hakimi,Borussia Dortmund,Rechter Verteidiger,21.0,20,4,0.0,2.0
Javairô Dilrosun,Hertha BSC,Linksaußen,17.0,20,4,0.0,2.0
William,VfL Wolfsburg,Rechter Verteidiger,31.0,24,3,0.0,2.0
Nicólas González,VfB Stuttgart,Mittelstürmer,30.0,21,3,0.0,2.0
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,32,2,0.0,2.0
Wendell,Bayer 04 Leverkusen,Linker Verteidiger,28.0,25,2,1.0,2.0
Emiliano Insúa,VfB Stuttgart,Linker Verteidiger,27.0,30,2,0.0,2.0
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,30,2,0.0,2.0
Elvis Rexhbecaj,VfL Wolfsburg,Zentrales Mittelfeld,24.0,21,2,0.0,2.0
Jacob Bruun Larsen,Borussia Dortmund,Linksaußen,24.0,20,2,0.0,2.0
Mark Uth,FC Schalke 04,Mittelstürmer,20.0,27,2,0.0,2.0
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20.0,29,2,0.0,2.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,21,2,0.0,2.0
Jean-Philippe Gbamin,1.FSV Mainz 05,Defensives Mittelfeld,31.0,23,1,0.0,2.0
Nico Elvedi,Borussia Mönchengladbach,Innenverteidiger,30.0,22,1,0.0,2.0
Ja-cheol Koo,FC Augsburg,Zentrales Mittelfeld,26.0,30,1,0.0,2.0
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,22,1,0.0,2.0
Matheus Cunha,RasenBallsport Leipzig,Mittelstürmer,25.0,19,1,0.0,2.0
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,28,1,0.0,2.0
Christoph Kramer,Borussia Mönchengladbach,Defensives Mittelfeld,18.0,28,1,0.0,2.0
Mathew Leckie,Hertha BSC,Rechtsaußen,18.0,28,1,0.0,2.0
Joshua Brenet,TSG 1899 Hoffenheim,Rechter Verteidiger,14.0,25,1,0.0,2.0
Niclas Füllkrug,Hannover 96,Mittelstürmer,14.0,26,1,1.0,2.0
Adam Zrelak,1.FC Nürnberg,Mittelstürmer,14.0,24,1,0.0,2.0
Raffael,Borussia Mönchengladbach,Hängende Spitze,13.0,34,1,0.0,2.0
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,23,0,0.0,2.0
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,28,0,0.0,2.0
Matthias Ginter,Borussia Mönchengladbach,Innenverteidiger,27.0,25,0,0.0,2.0
Georg Margreitter,1.FC Nürnberg,Innenverteidiger,27.0,30,0,0.0,2.0
Marc Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,24,0,0.0,2.0
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,28,0,0.0,2.0
Florent Muslija,Hannover 96,Offensives Mittelfeld,17.0,20,0,0.0,2.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,19,0,0.0,2.0
Felipe,Hannover 96,Innenverteidiger,17.0,31,0,0.0,2.0
Federico Palacios,1.FC Nürnberg,Mittelstürmer,17.0,24,0,0.0,2.0
Ahmed Kutucu,FC Schalke 04,Mittelstürmer,13.0,19,0,0.0,2.0
Josh Sargent,SV Werder Bremen,Mittelstürmer,10.0,19,0,0.0,2.0
Roland Sallai,SC Freiburg,Linksaußen,10.0,21,0,0.0,2.0
Josip Drmic,Borussia Mönchengladbach,Mittelstürmer,5.0,26,0,0.0,2.0
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,25,7,0.0,1.0
Nico Schulz,TSG 1899 Hoffenheim,Linker Verteidiger,30.0,26,6,0.0,1.0
Lukasz Piszczek,Borussia Dortmund,Rechter Verteidiger,20.0,33,6,0.0,1.0
Ludwig Augustinsson,SV Werder Bremen,Linker Verteidiger,34.0,25,5,0.0,1.0
Bastian Oczipka,FC Schalke 04,Linker Verteidiger,21.0,30,5,0.0,1.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechter Verteidiger,30.0,25,4,0.0,1.0
Janik Haberer,SC Freiburg,Zentrales Mittelfeld,27.0,25,4,0.0,1.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,20,4,0.0,1.0
Lars Bender,Bayer 04 Leverkusen,Defensives Mittelfeld,20.0,30,4,0.0,1.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechter Verteidiger,34.0,26,3,0.0,1.0
Miiko Albornoz,Hannover 96,Linker Verteidiger,22.0,28,3,0.0,1.0
Leonardo Bittencourt,TSG 1899 Hoffenheim,Offensives Mittelfeld,21.0,25,3,0.0,1.0
Linton Maina,Hannover 96,Rechtes Mittelfeld,20.0,19,3,0.0,1.0
Takashi Usami,Fortuna Düsseldorf,Linksaußen,19.0,27,3,0.0,1.0
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,29,2,0.0,1.0
Maximilian Mittelstädt,Hertha BSC,Linker Verteidiger,25.0,22,2,0.0,1.0
Virgil Misidjan,1.FC Nürnberg,Rechtsaußen,23.0,25,2,0.0,1.0
Marvin Plattenhardt,Hertha BSC,Linker Verteidiger,22.0,27,2,0.0,1.0
Yunus Malli,VfL Wolfsburg,Offensives Mittelfeld,21.0,27,2,1.0,1.0
Jean Zimmer,Fortuna Düsseldorf,Rechter Verteidiger,18.0,25,2,0.0,1.0
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,21,2,0.0,1.0
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,25,1,0.0,1.0
Moussa Niakhaté,1.FSV Mainz 05,Innenverteidiger,33.0,23,1,0.0,1.0
Oscar Wendt,Borussia Mönchengladbach,Linker Verteidiger,32.0,33,1,0.0,1.0
Konrad Laimer,RasenBallsport Leipzig,Zentrales Mittelfeld,29.0,21,1,0.0,1.0
Ibrahima Konaté,RasenBallsport Leipzig,Innenverteidiger,28.0,19,1,0.0,1.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,23,1,0.0,1.0
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,19,1,0.0,1.0
Walace,Hannover 96,Defensives Mittelfeld,26.0,24,1,0.0,1.0
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,29,1,0.0,1.0
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,29,1,0.0,1.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,30,1,0.0,1.0
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,28,1,0.0,1.0
Nuri Sahin,SV Werder Bremen,Defensives Mittelfeld,20.0,30,1,0.0,1.0
Erik Thommy,VfB Stuttgart,Linkes Mittelfeld,19.0,24,1,0.0,1.0
Nordi Mukiele,RasenBallsport Leipzig,Rechter Verteidiger,19.0,21,1,0.0,1.0
Fabian Johnson,Borussia Mönchengladbach,Linksaußen,18.0,31,1,0.0,1.0
Maximilian Philipp,Borussia Dortmund,Hängende Spitze,18.0,25,1,0.0,1.0
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,20,1,0.0,1.0
Renato Sanches,FC Bayern München,Zentrales Mittelfeld,17.0,21,1,0.0,1.0
Marvin Ducksch,Fortuna Düsseldorf,Mittelstürmer,16.0,25,1,0.0,1.0
Törles Knöll,1.FC Nürnberg,Mittelstürmer,16.0,21,1,0.0,1.0
Rafinha,FC Bayern München,Rechter Verteidiger,16.0,33,1,0.0,1.0
Alessandro Schöpf,FC Schalke 04,Rechtes Mittelfeld,15.0,24,1,0.0,1.0
Alexander Hack,1.FSV Mainz 05,Innenverteidiger,14.0,25,1,0.0,1.0
Caiuby,FC Augsburg,Linksaußen,14.0,30,1,0.0,1.0
Felix Klaus,VfL Wolfsburg,Rechtsaußen,14.0,26,1,0.0,1.0
Bruma,RasenBallsport Leipzig,Linksaußen,14.0,24,1,0.0,1.0
Yevhen Konoplianka,FC Schalke 04,Linksaußen,13.0,29,1,0.0,1.0
Markus Suttner,Fortuna Düsseldorf,Linker Verteidiger,6.0,32,1,0.0,1.0
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,22,0,0.0,1.0
Lukas Mühl,1.FC Nürnberg,Innenverteidiger,31.0,22,0,0.0,1.0
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,26,0,0.0,1.0
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28.0,32,0,0.0,1.0
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,23,0,0.0,1.0
Robin Koch,SC Freiburg,Innenverteidiger,24.0,22,0,0.0,1.0
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23.0,23,0,0.0,1.0
Yuya Kubo,1.FC Nürnberg,Mittelstürmer,22.0,25,0,0.0,1.0
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,24,0,0.0,1.0
Alexandru Maxim,1.FSV Mainz 05,Offensives Mittelfeld,22.0,28,0,0.0,1.0
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,23,0,0.0,1.0
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,23,0,0.0,1.0
Michael Lang,Borussia Mönchengladbach,Rechter Verteidiger,17.0,28,0,0.0,1.0
Marius Wolf,Borussia Dortmund,Rechtsaußen,16.0,23,0,0.0,1.0
Mahmoud Dahoud,Borussia Dortmund,Zentrales Mittelfeld,14.0,23,0,0.0,1.0
Marco Terrazzino,SC Freiburg,Linksaußen,13.0,28,0,0.0,1.0
Marcel Tisserand,VfL Wolfsburg,Innenverteidiger,10.0,26,0,0.0,1.0
Amadou Haidara,RasenBallsport Leipzig,Zentrales Mittelfeld,9.0,21,0,0.0,1.0
Julian Schieber,FC Augsburg,Mittelstürmer,9.0,30,0,0.0,1.0
Alexander Fuchs,1.FC Nürnberg,Zentrales Mittelfeld,9.0,22,0,0.0,1.0
Haji Wright,FC Schalke 04,Mittelstürmer,7.0,20,0,0.0,1.0
Felix Götze,FC Augsburg,Defensives Mittelfeld,6.0,21,0,0.0,1.0
Alphonso Davies,FC Bayern München,Linksaußen,6.0,18,0,0.0,1.0
Corentin Tolisso,FC Bayern München,Zentrales Mittelfeld,2.0,24,0,0.0,1.0
