Name,Verein,Position,Einsatz,SpielMinuten,PassCompleted,TotalPass
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,502.0,670.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,1231.0,1643.0
Miiko Albornoz,Hannover 96,Linksverteidiger,22.0,1779.0,716.0,958.0
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18.0,1581.0,564.0,755.0
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31.0,1592.0,431.0,577.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,1053.0,1410.0
Patrick Herrmann,B. Mönchengladbach,Rechte Außenbahn,24.0,1184.0,393.0,527.0
Lucas Alario,Bayer 04 Leverkusen,Stürmer,27.0,1375.0,307.0,412.0
Max Kruse,SV Werder Bremen,Stürmer,32.0,3018.0,1330.0,1786.0
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32.0,2904.0,1078.0,1448.0
Felipe,Hannover 96,Innenverteidiger,17.0,1173.0,370.0,497.0
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,1590.0,300.0,403.0
Aarón,1. FSV Mainz 05,Linksverteidiger,33.0,3069.0,1289.0,1732.0
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,1653.0,504.0,678.0
Eduard Löwen,1. FC Nürnberg,Zentrales Mittelfeld,22.0,1717.0,539.0,726.0
Linton Maina,Hannover 96,Linke Außenbahn,20.0,1460.0,371.0,501.0
Oliver Sorg,Hannover 96,Rechtsverteidiger,19.0,1679.0,618.0,835.0
Paco Alcácer,Borussia Dortmund,Stürmer,26.0,1338.0,213.0,288.0
Lukas Klostermann,RB Leipzig,Rechtsverteidiger,26.0,2141.0,753.0,1019.0
Vincenzo Grifo,SC Freiburg,Linke Außenbahn,23.0,1868.0,700.0,951.0
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,991.0,1347.0
William,VfL Wolfsburg,Rechtsverteidiger,31.0,2864.0,1308.0,1780.0
Davy Klaassen,SV Werder Bremen,Zentrales Mittelfeld,33.0,2985.0,913.0,1244.0
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,1786.0,664.0,906.0
Steven Zuber,VfB Stuttgart,Linke Außenbahn,22.0,1706.0,521.0,711.0
Kevin Volland,Bayer 04 Leverkusen,Stürmer,34.0,2983.0,672.0,920.0
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22.0,2040.0,824.0,1129.0
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,1678.0,688.0,944.0
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,1346.0,454.0,623.0
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,996.0,1368.0
Thomas Müller,FC Bayern München,Rechte Außenbahn,32.0,2483.0,925.0,1271.0
Javairo Dilrosun,Hertha BSC,Linke Außenbahn,17.0,997.0,179.0,246.0
Dodi Lukebakio,Fortuna Düsseldorf,Rechte Außenbahn,31.0,2077.0,425.0,585.0
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,1153.0,1590.0
Valentino Lazaro,Hertha BSC,Rechte Außenbahn,31.0,2918.0,1175.0,1621.0
Maximilian Mittelstädt,Hertha BSC,Linksverteidiger,25.0,1929.0,650.0,898.0
Christian Günter,SC Freiburg,Linksverteidiger,32.0,3082.0,1061.0,1468.0
Robin Quaison,1. FSV Mainz 05,Stürmer,28.0,2323.0,326.0,452.0
Nordi Mukiele,RB Leipzig,Rechtsverteidiger,19.0,1300.0,517.0,717.0
Ádám Szalai,TSG 1899 Hoffenheim,Stürmer,30.0,1787.0,302.0,420.0
Admir Mehmedi,VfL Wolfsburg,Stürmer,26.0,1786.0,563.0,783.0
Mark Uth,FC Schalke 04,Stürmer,20.0,1507.0,275.0,383.0
Salomon Kalou,Hertha BSC,Linke Außenbahn,30.0,2429.0,508.0,708.0
Timo Werner,RB Leipzig,Stürmer,30.0,2605.0,610.0,851.0
