Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert
Makoto Hasebe,Eintracht Frankfurt,Innenverteidiger,28.0,2697.0,39.0,,,,,34.0,,17.0,,,,3.0,,,97.0,
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,32.0,,,,,35.0,45.0,18.0,,34.0,60.0,1.0,,,45.0,6.0
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,2636.0,38.0,,,,,24.0,,17.0,,,,1.0,,,113.0,
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,2798.0,40.0,,,,,15.0,12.0,14.0,,,,1.0,,,131.0,
Robin Koch,SC Freiburg,Innenverteidiger,24.0,2048.0,29.0,,,,,14.0,17.0,20.0,,6.0,9.0,3.0,,,75.0,
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,1346.0,19.0,,,,,14.0,10.0,16.0,,,,,,,72.0,
Niklas Moisander,SV Werder Bremen,Innenverteidiger,30.0,2835.0,40.0,,,,,23.0,13.0,34.0,,11.0,18.0,1.0,,,136.0,
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,3266.0,46.0,,,,,23.0,17.0,30.0,,21.0,28.0,,,,210.0,
Robin Knoche,VfL Wolfsburg,Innenverteidiger,32.0,2986.0,42.0,,,,,20.0,,13.0,,7.0,9.0,2.0,,,135.0,
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32.0,2934.0,41.0,,,,,42.0,49.0,31.0,,24.0,55.0,,,,50.0,5.0
Diego Demme,RB Leipzig,Defensives Mittelfeld,26.0,2155.0,30.0,,,,,49.0,26.0,37.0,,9.0,18.0,,,,16.0,3.0
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,25.0,,,,,15.0,,15.0,,,,,,,49.0,2.0
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28.0,2540.0,35.0,,,,,16.0,,22.0,,,,2.0,,,99.0,
Ja-cheol Koo,FC Augsburg,Offensives Mittelfeld,26.0,1744.0,24.0,,,,,24.0,51.0,26.0,,14.0,25.0,,,,18.0,
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,29.0,,,,,41.0,30.0,30.0,,10.0,23.0,1.0,,,36.0,4.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,33.0,,,,,17.0,11.0,26.0,,,,1.0,,,32.0,4.0
Lukas Klostermann,RB Leipzig,Rechtsverteidiger,26.0,2141.0,29.0,,,,,29.0,18.0,17.0,,7.0,17.0,,,,62.0,
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,19.0,,,,,19.0,29.0,29.0,,6.0,17.0,1.0,,,21.0,6.0
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32.0,2904.0,39.0,,,,,61.0,17.0,27.0,,7.0,14.0,,,,115.0,
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,36.0,,,,,20.0,20.0,34.0,,8.0,16.0,1.0,,,62.0,7.0
Arne Maier,Hertha BSC,Defensives Mittelfeld,24.0,2187.0,29.0,,,,,16.0,27.0,18.0,,22.0,36.0,,,,33.0,
Marcel Sabitzer,RB Leipzig,Rechte Außenbahn,30.0,2492.0,33.0,,,,,28.0,55.0,27.0,,15.0,28.0,,,,29.0,8.0
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21.0,1520.0,20.0,,,,,16.0,,11.0,,,,1.0,,,77.0,
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29.0,1760.0,23.0,,,,,21.0,52.0,20.0,,28.0,60.0,,,,,3.0
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,1840.0,24.0,,,,,17.0,,9.0,,,,,,,85.0,
Aarón,1. FSV Mainz 05,Linksverteidiger,33.0,3069.0,40.0,,,,,31.0,39.0,29.0,,45.0,61.0,1.0,,,58.0,6.0
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,36.0,,,,,37.0,23.0,26.0,,11.0,25.0,1.0,,,62.0,5.0
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17.0,1319.0,17.0,,,,,10.0,11.0,10.0,,2.0,12.0,1.0,,,37.0,
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,2483.0,32.0,,,,,27.0,19.0,27.0,,5.0,13.0,,,,113.0,
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,2255.0,29.0,,,,,34.0,42.0,47.0,,28.0,45.0,1.0,,,18.0,11.0
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29.0,2028.0,26.0,,,,,29.0,35.0,23.0,,23.0,35.0,1.0,,,47.0,
Daniel Brosinski,1. FSV Mainz 05,Rechtsverteidiger,26.0,2343.0,30.0,,,,,16.0,27.0,13.0,,6.0,22.0,,,,44.0,6.0
Mathew Leckie,Hertha BSC,Rechte Außenbahn,18.0,1017.0,13.0,,,,,13.0,37.0,18.0,,10.0,28.0,,,,13.0,
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27.0,2206.0,28.0,,,,,24.0,10.0,10.0,,7.0,10.0,,,,137.0,
Stefan Posch,TSG 1899 Hoffenheim,Innenverteidiger,17.0,1499.0,19.0,,,,,30.0,,31.0,,,,,,,54.0,
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,1994.0,25.0,,,,,29.0,35.0,27.0,,9.0,17.0,1.0,,,25.0,4.0
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,25.0,,,,,27.0,51.0,16.0,,23.0,53.0,2.0,,,21.0,6.0
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24.0,1872.0,23.0,,,,,20.0,13.0,24.0,,9.0,12.0,,,,48.0,3.0
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,2371.0,29.0,,,,,20.0,11.0,13.0,,8.0,12.0,2.0,,,87.0,
Hanno Behrens,1. FC Nürnberg,Zentrales Mittelfeld,30.0,2795.0,34.0,,,,,27.0,23.0,39.0,,8.0,16.0,,,,46.0,2.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,26.0,,,,,22.0,25.0,28.0,,14.0,23.0,1.0,,,14.0,2.0
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,22.0,,,,,34.0,61.0,39.0,,38.0,63.0,1.0,,,,2.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,27.0,,,,,37.0,64.0,32.0,,27.0,61.0,,,,39.0,4.0
David Alaba,FC Bayern München,Linksverteidiger,31.0,2688.0,32.0,,,,,20.0,31.0,12.0,,28.0,39.0,,,,30.0,6.0
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,31.0,,,,,29.0,80.0,20.0,,48.0,91.0,,,,37.0,4.0
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,3047.0,36.0,,,,,29.0,35.0,45.0,,24.0,30.0,1.0,,,44.0,7.0
André Hahn,FC Augsburg,Rechte Außenbahn,28.0,2207.0,26.0,,,,,38.0,59.0,67.0,,18.0,49.0,,,,28.0,3.0
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23.0,1633.0,19.0,,,,,12.0,45.0,10.0,,31.0,53.0,1.0,,,,8.0
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18.0,1118.0,13.0,,,,,23.0,32.0,25.0,,9.0,19.0,,,,19.0,
Wendell,Bayer 04 Leverkusen,Linksverteidiger,28.0,2426.0,28.0,,,,,48.0,14.0,36.0,,7.0,16.0,,,,57.0,3.0
Denis Zakaria,B. Mönchengladbach,Defensives Mittelfeld,31.0,2088.0,24.0,,,,,21.0,54.0,31.0,,30.0,62.0,,,,18.0,
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34.0,3247.0,37.0,,,,,27.0,54.0,27.0,,38.0,67.0,2.0,,,33.0,20.0
Leonardo Bittencourt,TSG 1899 Hoffenheim,Linke Außenbahn,21.0,1146.0,13.0,,,,,26.0,30.0,17.0,,9.0,25.0,,,,,2.0
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,2132.0,24.0,,,,,36.0,75.0,46.0,,57.0,80.0,,,,21.0,14.0
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,36.0,,,,,31.0,34.0,41.0,,11.0,31.0,2.0,,,72.0,3.0
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,2612.0,29.0,,,,,35.0,55.0,28.0,,10.0,30.0,,,,31.0,5.0
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31.0,2840.0,31.0,,,,,33.0,88.0,38.0,,34.0,72.0,,,,32.0,2.0
Danny Latza,1. FSV Mainz 05,Defensives Mittelfeld,24.0,1929.0,21.0,,,,,23.0,43.0,25.0,,15.0,34.0,,,,27.0,
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,1567.0,17.0,,,,,19.0,,14.0,,,,2.0,,,53.0,
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24.0,1225.0,13.0,,,,,16.0,29.0,12.0,,9.0,18.0,,,,16.0,2.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,2554.0,27.0,,,,,21.0,34.0,21.0,,40.0,58.0,1.0,,,85.0,
Fabian Johnson,B. Mönchengladbach,Linke Außenbahn,18.0,1082.0,11.0,,,,,,13.0,,,,,,,,13.0,
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31.0,1592.0,16.0,,,,,16.0,28.0,19.0,,20.0,31.0,,,,13.0,3.0
Matheus Pereira,1. FC Nürnberg,Rechte Außenbahn,19.0,1311.0,13.0,,,,,12.0,37.0,28.0,,40.0,56.0,,,,,
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25.0,1515.0,15.0,,,,,6.0,63.0,16.0,,32.0,70.0,1.0,,,,
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,3267.0,32.0,,,,,44.0,57.0,37.0,,16.0,40.0,,,,63.0,6.0
Federico Palacios,1. FC Nürnberg,Stürmer,17.0,1022.0,10.0,,,,,10.0,34.0,9.0,,10.0,22.0,,,,,
Karim Bellarabi,Bayer 04 Leverkusen,Rechte Außenbahn,19.0,1131.0,11.0,,,,,7.0,52.0,17.0,,19.0,43.0,,,,,6.0
Jacob Bruun Larsen,Borussia Dortmund,Linke Außenbahn,24.0,1350.0,13.0,,,,,8.0,46.0,,,15.0,41.0,,,,12.0,4.0
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21.0,1455.0,14.0,,,,,27.0,18.0,28.0,,5.0,12.0,,,,13.0,2.0
Linton Maina,Hannover 96,Linke Außenbahn,20.0,1460.0,14.0,,,,,17.0,45.0,9.0,,19.0,47.0,,,,,4.0
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15.0,1373.0,13.0,,,,,26.0,20.0,11.0,,9.0,19.0,,,,49.0,
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,30.0,,,,,36.0,77.0,33.0,,29.0,83.0,,,,55.0,9.0
Nico Schulz,TSG 1899 Hoffenheim,Linksverteidiger,30.0,2711.0,25.0,,,,,20.0,86.0,30.0,,51.0,115.0,,,,29.0,13.0
Alexander Esswein,VfB Stuttgart,Rechte Außenbahn,17.0,1303.0,12.0,,,,,11.0,33.0,18.0,,9.0,25.0,,,,13.0,
Genki Haraguchi,Hannover 96,Linke Außenbahn,28.0,2285.0,21.0,,,,,28.0,68.0,33.0,,45.0,85.0,,,,23.0,4.0
Miiko Albornoz,Hannover 96,Linksverteidiger,22.0,1779.0,16.0,,,,,26.0,39.0,34.0,,8.0,29.0,1.0,,,31.0,3.0
Thorgan Hazard,B. Mönchengladbach,Rechte Außenbahn,33.0,3035.0,27.0,,,,,32.0,115.0,26.0,,70.0,133.0,,,,,13.0
Lars Stindl,B. Mönchengladbach,Stürmer,21.0,1585.0,14.0,,,,,13.0,28.0,19.0,,15.0,28.0,,,,12.0,5.0
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,20.0,,,,,25.0,26.0,20.0,,7.0,17.0,,,,29.0,3.0
