Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet,SpielMinuten,ShotOnTarget,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,Balleroberungen,BallVerluste,Fouls,CleanSheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor,FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles,TorschussVorlagen,GewonneneZweikaempfe,GesamteZweikaempfe,Value
Robin Quaison,1.FSV Mainz 05,Hängende Spitze,28.0,25.0,3.0,0.0,7.0,Schweden & Ghana,2323.0,17.0,7.0,NULL,NULL,NULL,12.0,88.0,31.0,NULL,22.0,52.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.0,94.0,NULL,326.0,452.0,50.0,12.0,27.0,18.0,86.0,278.0,8.0
Karim Onisiwo,1.FSV Mainz 05,Linksaußen,26.0,27.0,3.0,0.0,7.0,Österreich,1236.0,17.0,8.0,NULL,NULL,NULL,17.0,46.0,22.0,NULL,15.0,41.0,NULL,NULL,NULL,NULL,6.0,NULL,NULL,42.0,80.0,NULL,151.0,252.0,39.0,17.0,29.0,19.0,113.0,224.0,NULL
Mario Gómez,VfB Stuttgart,Mittelstürmer,31.0,33.0,2.0,0.0,7.0,Deutschland & Spanien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Reiss Nelson,TSG 1899 Hoffenheim,Rechtsaußen,23.0,19.0,1.0,0.0,7.0,England & Simbabwe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.0
Thomas Müller,FC Bayern München,Hängende Spitze,32.0,29.0,12.0,0.0,6.0,Deutschland,2483.0,27.0,10.0,NULL,NULL,NULL,23.0,30.0,23.0,NULL,22.0,35.0,NULL,NULL,NULL,13.0,13.0,NULL,NULL,48.0,108.0,NULL,925.0,1271.0,63.0,23.0,70.0,55.0,136.0,273.0,35.0
Filip Kostic,Eintracht Frankfurt,Linkes Mittelfeld,34.0,26.0,11.0,0.0,6.0,Serbien,3158.0,18.0,23.0,NULL,NULL,NULL,42.0,83.0,26.0,NULL,56.0,94.0,NULL,NULL,NULL,36.0,15.0,NULL,NULL,43.0,86.0,NULL,943.0,1581.0,62.0,42.0,103.0,45.0,201.0,389.0,22.0
Admir Mehmedi,VfL Wolfsburg,Hängende Spitze,26.0,28.0,7.0,0.0,6.0,Schweiz & Nordmazedonien,1786.0,13.0,14.0,NULL,NULL,NULL,30.0,49.0,28.0,NULL,13.0,34.0,NULL,NULL,NULL,NULL,6.0,NULL,NULL,24.0,64.0,NULL,563.0,783.0,36.0,30.0,73.0,37.0,121.0,264.0,10.0
Ádám Szalai,TSG 1899 Hoffenheim,Mittelstürmer,30.0,31.0,5.0,0.0,6.0,Ungarn,1787.0,20.0,NULL,NULL,NULL,NULL,13.0,39.0,33.0,NULL,10.0,26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44.0,93.0,NULL,302.0,420.0,65.0,13.0,26.0,24.0,97.0,223.0,NULL
Kingsley Coman,FC Bayern München,Linksaußen,21.0,22.0,5.0,0.0,6.0,Frankreich & Guadeloupe,1441.0,19.0,NULL,NULL,NULL,NULL,6.0,75.0,17.0,NULL,58.0,97.0,NULL,NULL,NULL,NULL,7.0,NULL,NULL,12.0,26.0,NULL,539.0,678.0,31.0,6.0,24.0,28.0,122.0,240.0,50.0
Franck Ribéry,FC Bayern München,Linksaußen,25.0,36.0,4.0,0.0,6.0,Frankreich,1308.0,11.0,8.0,NULL,NULL,NULL,8.0,98.0,17.0,NULL,37.0,89.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,NULL,NULL,NULL,602.0,742.0,26.0,8.0,20.0,21.0,71.0,198.0,4.0
Daniel Ginczek,VfL Wolfsburg,Mittelstürmer,24.0,28.0,4.0,0.0,6.0,Deutschland,1373.0,14.0,NULL,NULL,NULL,NULL,7.0,38.0,14.0,NULL,13.0,26.0,1.0,NULL,NULL,19.0,3.0,NULL,NULL,26.0,63.0,NULL,203.0,349.0,36.0,7.0,23.0,12.0,62.0,164.0,12.0
Michael Gregoritsch,FC Augsburg,Hängende Spitze,32.0,25.0,2.0,1.0,6.0,Österreich,2633.0,25.0,16.0,NULL,NULL,NULL,12.0,50.0,27.0,NULL,13.0,35.0,NULL,NULL,NULL,58.0,2.0,NULL,NULL,89.0,178.0,NULL,655.0,924.0,85.0,12.0,42.0,25.0,150.0,335.0,12.0
Hendrik Weydandt,Hannover 96,Mittelstürmer,28.0,23.0,2.0,0.0,6.0,Deutschland,1847.0,20.0,NULL,NULL,NULL,NULL,12.0,68.0,34.0,NULL,11.0,42.0,NULL,NULL,NULL,43.0,6.0,NULL,NULL,125.0,244.0,NULL,251.0,443.0,61.0,12.0,38.0,22.0,181.0,420.0,NULL
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,22.0,5.0,0.0,5.0,Deutschland,3267.0,14.0,32.0,NULL,NULL,NULL,44.0,57.0,37.0,NULL,16.0,40.0,NULL,NULL,NULL,63.0,6.0,NULL,NULL,40.0,91.0,NULL,1273.0,1603.0,45.0,44.0,96.0,43.0,162.0,331.0,30.0
Davy Klaassen,SV Werder Bremen,Offensives Mittelfeld,33.0,26.0,5.0,0.0,5.0,Niederlande,2985.0,10.0,48.0,NULL,NULL,NULL,46.0,35.0,48.0,NULL,15.0,29.0,NULL,NULL,NULL,41.0,6.0,NULL,NULL,33.0,97.0,NULL,913.0,1244.0,32.0,46.0,98.0,36.0,135.0,312.0,22.0
Jonas Hofmann,Borussia Mönchengladbach,Zentrales Mittelfeld,27.0,26.0,5.0,1.0,5.0,Deutschland,2019.0,10.0,15.0,NULL,NULL,NULL,20.0,46.0,20.0,NULL,11.0,31.0,NULL,NULL,NULL,13.0,4.0,NULL,NULL,7.0,38.0,NULL,906.0,1114.0,36.0,20.0,64.0,33.0,81.0,203.0,9.0
Karim Bellarabi,Bayer 04 Leverkusen,Rechtsaußen,19.0,28.0,5.0,0.0,5.0,Deutschland & Marokko,1131.0,11.0,11.0,NULL,NULL,NULL,7.0,52.0,17.0,NULL,19.0,43.0,NULL,NULL,NULL,NULL,6.0,NULL,NULL,NULL,NULL,NULL,335.0,492.0,43.0,7.0,28.0,25.0,46.0,130.0,15.0
Breel Embolo,FC Schalke 04,Mittelstürmer,20.0,22.0,4.0,0.0,5.0,Schweiz & Kamerun,1411.0,13.0,NULL,NULL,NULL,NULL,17.0,80.0,30.0,NULL,27.0,70.0,NULL,NULL,NULL,NULL,6.0,NULL,NULL,29.0,77.0,NULL,166.0,261.0,26.0,17.0,30.0,16.0,109.0,275.0,14.0
Leon Bailey,Bayer 04 Leverkusen,Linksaußen,29.0,21.0,2.0,0.0,5.0,Jamaika,2018.0,17.0,16.0,NULL,NULL,NULL,11.0,72.0,17.0,NULL,50.0,78.0,NULL,NULL,NULL,NULL,5.0,NULL,NULL,13.0,27.0,NULL,621.0,948.0,56.0,11.0,29.0,45.0,112.0,227.0,40.0
