Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Alter,Vorlagen,Elfmetertor,Tore,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles
Marcin Kaminski,Fortuna Düsseldorf,Innenverteidiger,27.0,2581.0,42.0,,,,,13.0,,7.0,,,,2.0,,,104.0,,,,48.0,88.0,,,,,,978.0,1166.0,8.0,13.0,22.0
Davy Klaassen,SV Werder Bremen,Zentrales Mittelfeld,33.0,2985.0,48.0,,,,,46.0,35.0,48.0,,15.0,29.0,,,,41.0,6.0,,,33.0,97.0,26.0,5.0,0.0,5.0,,913.0,1244.0,32.0,46.0,98.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,23.0,,,,,19.0,,21.0,,14.0,18.0,1.0,,,53.0,,,,54.0,81.0,19.0,0.0,0.0,3.0,,432.0,561.0,11.0,19.0,43.0
Robert Bauer,1. FC Nürnberg,Rechtsverteidiger,22.0,1816.0,29.0,,,,,31.0,,19.0,,,,,,,66.0,,,,14.0,40.0,,,,,,584.0,819.0,8.0,31.0,68.0
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18.0,1065.0,17.0,,,,,28.0,16.0,22.0,,4.0,9.0,1.0,,,15.0,,,,12.0,29.0,,,,,,407.0,506.0,15.0,28.0,62.0
Karim Rekik,Hertha BSC,Innenverteidiger,24.0,2198.0,35.0,,,,,22.0,,16.0,,,,,,,85.0,,,,50.0,90.0,,,,,,1032.0,1172.0,,22.0,40.0
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23.0,2010.0,32.0,,,,,23.0,,21.0,,,,,,,105.0,,,,50.0,95.0,23.0,0.0,0.0,1.0,,1047.0,1240.0,9.0,23.0,48.0
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18.0,1581.0,25.0,,,,,18.0,11.0,13.0,,,,2.0,,,38.0,,,,10.0,27.0,,,,,,564.0,755.0,,18.0,45.0
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,1709.0,27.0,,,,,23.0,,12.0,,,,,,,96.0,,,,46.0,69.0,23.0,0.0,0.0,1.0,,703.0,860.0,,23.0,39.0
Konrad Laimer,RB Leipzig,Zentrales Mittelfeld,29.0,1972.0,31.0,,,,,39.0,67.0,40.0,,31.0,58.0,,,,19.0,5.0,,,20.0,49.0,21.0,1.0,0.0,1.0,,578.0,817.0,14.0,39.0,123.0
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30.0,2257.0,35.0,,,,,32.0,66.0,52.0,,30.0,56.0,,,,11.0,9.0,,,23.0,55.0,25.0,8.0,0.0,4.0,,648.0,859.0,46.0,32.0,76.0
Adam Bodzek,Fortuna Düsseldorf,Defensives Mittelfeld,21.0,1678.0,26.0,,,,,31.0,,33.0,,,,,,,39.0,,,,33.0,54.0,,,,,,583.0,690.0,,31.0,69.0
Moussa Niakhaté,1. FSV Mainz 05,Innenverteidiger,33.0,2975.0,46.0,,,,,31.0,,36.0,,8.0,10.0,1.0,,,134.0,,,,72.0,118.0,23.0,1.0,0.0,1.0,,1261.0,1533.0,10.0,31.0,63.0
Lars Bender,Bayer 04 Leverkusen,Rechtsverteidiger,20.0,1428.0,22.0,,,,,30.0,11.0,27.0,,10.0,16.0,,,,23.0,,,,35.0,71.0,30.0,4.0,0.0,1.0,,768.0,931.0,16.0,30.0,56.0
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,41.0,,,,,22.0,40.0,21.0,,16.0,36.0,2.0,,,59.0,2.0,,,29.0,55.0,28.0,7.0,0.0,3.0,,1104.0,1404.0,18.0,22.0,56.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,1907.0,29.0,,,,,33.0,40.0,44.0,,29.0,49.0,,,,50.0,,,,69.0,105.0,23.0,1.0,0.0,5.0,,776.0,956.0,46.0,33.0,70.0
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,3093.0,47.0,,,,,33.0,35.0,26.0,,25.0,35.0,,,,47.0,3.0,,,46.0,76.0,30.0,1.0,0.0,4.0,,2248.0,2418.0,36.0,33.0,57.0
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,1653.0,25.0,,,,,18.0,24.0,43.0,,3.0,12.0,,,,29.0,2.0,,,79.0,156.0,29.0,1.0,0.0,1.0,,504.0,678.0,19.0,18.0,51.0
Valentino Lazaro,Hertha BSC,Rechte Außenbahn,31.0,2918.0,44.0,,,,,33.0,65.0,23.0,,34.0,74.0,,,,54.0,12.0,,,20.0,65.0,23.0,7.0,0.0,3.0,,1175.0,1621.0,20.0,33.0,78.0
