Name,Verein,Position,Einsatz,SpielMinuten,Balleroberungen
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,7.0
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,8.0
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,2687.0,8.0
Adam Zrelák,1. FC Nürnberg,Stürmer,14.0,1019.0,3.0
Christian Pulisic,Borussia Dortmund,Rechte Außenbahn,20.0,1030.0,3.0
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,3093.0,9.0
Nicolas Höfler,SC Freiburg,Defensives Mittelfeld,18.0,1719.0,5.0
Ondrej Petrák,1. FC Nürnberg,Defensives Mittelfeld,22.0,1737.0,5.0
Yuya Kubo,1. FC Nürnberg,Stürmer,22.0,1430.0,4.0
Lucas Höler,SC Freiburg,Stürmer,26.0,1083.0,3.0
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21.0,1455.0,4.0
André Hahn,FC Augsburg,Rechte Außenbahn,28.0,2207.0,6.0
Hendrik Weydandt,Hannover 96,Stürmer,28.0,1847.0,5.0
Daniel Baier,FC Augsburg,Defensives Mittelfeld,33.0,2980.0,8.0
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18.0,1118.0,3.0
Karim Bellarabi,Bayer 04 Leverkusen,Rechte Außenbahn,19.0,1131.0,3.0
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25.0,1515.0,4.0
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,3.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,7.0
Mario Gomez,VfB Stuttgart,Stürmer,31.0,2344.0,6.0
Nicolai Müller,Hannover 96,Rechte Außenbahn,21.0,1185.0,3.0
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31.0,1592.0,4.0
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31.0,2840.0,7.0
Milot Rashica,SV Werder Bremen,Stürmer,26.0,1631.0,4.0
Thomas Müller,FC Bayern München,Rechte Außenbahn,32.0,2483.0,6.0
Steven Zuber,VfB Stuttgart,Linke Außenbahn,22.0,1706.0,4.0
Walace,Hannover 96,Defensives Mittelfeld,26.0,2138.0,5.0
