Name Verein Position Einsatz SpielMinuten "Geklaerte Baelle"
"Charles Aránguiz" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 24 1994 25
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 38
"Per Skjelbred" "Hertha BSC" "Defensives Mittelfeld" 16 1059 13
"Sebastian Kerk" "1. FC Nürnberg" "Linke Außenbahn" 21 1246 15
"Fabian Johnson" "B. Mönchengladbach" "Linke Außenbahn" 18 1082 13
"Julian Baumgartlinger" "Bayer 04 Leverkusen" "Defensives Mittelfeld" 21 1667 20
"Yannick Gerhardt" "VfL Wolfsburg" "Zentrales Mittelfeld" 30 2612 31
"Adam Zrelák" "1. FC Nürnberg" Stürmer 14 1019 12
"Marcel Sabitzer" "RB Leipzig" "Rechte Außenbahn" 30 2492 29
"Ondrej Petrák" "1. FC Nürnberg" "Defensives Mittelfeld" 22 1737 20
"Filip Kostic" "Eintracht Frankfurt" "Linke Außenbahn" 34 3158 36
"Jean-Philippe Gbamin" "1. FSV Mainz 05" "Defensives Mittelfeld" 31 2840 32
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 29
"Gonzalo Castro" "VfB Stuttgart" "Zentrales Mittelfeld" 25 1786 20
"David Alaba" "FC Bayern München" Linksverteidiger 31 2688 30
"Nicolás González" "VfB Stuttgart" Stürmer 30 2288 25
"Nico Schulz" "TSG 1899 Hoffenheim" Linksverteidiger 30 2711 29
"Vedad Ibisevic" "Hertha BSC" Stürmer 28 1878 20
"Eduard Löwen" "1. FC Nürnberg" "Zentrales Mittelfeld" 22 1717 18
"Bastian Oczipka" "FC Schalke 04" Linksverteidiger 21 2015 21
"Yussuf Poulsen" "RB Leipzig" Stürmer 31 2595 27
"Kevin Volland" "Bayer 04 Leverkusen" Stürmer 34 2983 31
"Wout Weghorst" "VfL Wolfsburg" Stürmer 34 3098 32
"Ja-cheol Koo" "FC Augsburg" "Offensives Mittelfeld" 26 1744 18
