Name Verein Position Einsatz SpielMinuten balleroberungen
"Dodi Lukebakio" "Fortuna Düsseldorf" "Rechte Außenbahn" 31 2077 16
"Yuya Kubo" "1. FC Nürnberg" Stürmer 22 1430 11
"Yuya Osako" "SV Werder Bremen" Stürmer 21 1435 11
"Aleksandar Dragovic" "Bayer 04 Leverkusen" Innenverteidiger 18 1443 11
"Michael Lang" "B. Mönchengladbach" Rechtsverteidiger 17 1319 10
"Johannes Eggestein" "SV Werder Bremen" Stürmer 23 1194 9
"Weston McKennie" "FC Schalke 04" "Zentrales Mittelfeld" 24 1872 14
"David Alaba" "FC Bayern München" Linksverteidiger 31 2688 20
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 20
"Nico Schulz" "TSG 1899 Hoffenheim" Linksverteidiger 30 2711 20
"Raphaël Guerreiro" "Borussia Dortmund" Linksverteidiger 23 1633 12
"Dan-Axel Zagadou" "Borussia Dortmund" Innenverteidiger 17 1361 10
"Arne Maier" "Hertha BSC" "Defensives Mittelfeld" 24 2187 16
"Mark Uth" "FC Schalke 04" Stürmer 20 1507 11
"Ádám Szalai" "TSG 1899 Hoffenheim" Stürmer 30 1787 13
"Benjamin Pavard" "VfB Stuttgart" Innenverteidiger 29 2759 20
"Sebastian Kerk" "1. FC Nürnberg" "Linke Außenbahn" 21 1246 9
"Gian-Luca Waldschmidt" "SC Freiburg" Stürmer 30 1830 13
"Wout Weghorst" "VfL Wolfsburg" Stürmer 34 3098 22
"Bobby Wood" "Hannover 96" Stürmer 20 1273 9
"Dominique Heintz" "SC Freiburg" Innenverteidiger 34 3266 23
"Steven Zuber" "VfB Stuttgart" "Linke Außenbahn" 22 1706 12
"Tobias Strobl" "B. Mönchengladbach" "Defensives Mittelfeld" 29 2431 17
"Amine Harit" "FC Schalke 04" "Offensives Mittelfeld" 18 1152 8
"Florian Neuhaus" "B. Mönchengladbach" "Zentrales Mittelfeld" 32 2164 15
"Nico Elvedi" "B. Mönchengladbach" Innenverteidiger 30 2776 19
"Robin Koch" "SC Freiburg" Innenverteidiger 24 2048 14
"Daniel Brosinski" "1. FSV Mainz 05" Rechtsverteidiger 26 2343 16
"Robin Knoche" "VfL Wolfsburg" Innenverteidiger 32 2986 20
"Jean Zimmer" "Fortuna Düsseldorf" Rechtsverteidiger 18 1505 10
"Hendrik Weydandt" "Hannover 96" Stürmer 28 1847 12
"Kevin Volland" "Bayer 04 Leverkusen" Stürmer 34 2983 19
"Kevin Vogt" "TSG 1899 Hoffenheim" Innenverteidiger 28 2540 16
"Marvin Bakalorz" "Hannover 96" "Zentrales Mittelfeld" 25 1590 10
"Karim Bellarabi" "Bayer 04 Leverkusen" "Rechte Außenbahn" 19 1131 7
"Franck Ribéry" "FC Bayern München" "Linke Außenbahn" 25 1308 8
"Julian Brandt" "Bayer 04 Leverkusen" "Linke Außenbahn" 33 2823 17
"Jacob Bruun Larsen" "Borussia Dortmund" "Linke Außenbahn" 24 1350 8
James "FC Bayern München" "Offensives Mittelfeld" 20 1200 7
"Christian Pulisic" "Borussia Dortmund" "Rechte Außenbahn" 20 1030 6
"Lucas Alario" "Bayer 04 Leverkusen" Stürmer 27 1375 8
"Nicolás González" "VfB Stuttgart" Stürmer 30 2288 13
"Rouwen Hennings" "Fortuna Düsseldorf" Stürmer 29 1956 11
"Matthias Ginter" "B. Mönchengladbach" Innenverteidiger 27 2522 14
"Kai Havertz" "Bayer 04 Leverkusen" "Offensives Mittelfeld" 34 3075 17
"Guido Burgstaller" "FC Schalke 04" Stürmer 24 1643 9
"Leon Bailey" "Bayer 04 Leverkusen" "Linke Außenbahn" 29 2018 11
"Emil Forsberg" "RB Leipzig" "Linke Außenbahn" 20 1305 7
"John Anthony Brooks" "VfL Wolfsburg" Innenverteidiger 29 2798 15
"Marco Richter" "FC Augsburg" Stürmer 25 1510 8
"Robin Quaison" "1. FSV Mainz 05" Stürmer 28 2323 12
"Daniel Ginczek" "VfL Wolfsburg" Stürmer 24 1373 7
"Ishak Belfodil" "TSG 1899 Hoffenheim" Stürmer 28 1982 10
"Marcin Kaminski" "Fortuna Düsseldorf" Innenverteidiger 27 2581 13
"Mario Gomez" "VfB Stuttgart" Stürmer 31 2344 11
"Sébastien Haller" "Eintracht Frankfurt" Stürmer 29 2353 11
"Timo Werner" "RB Leipzig" Stürmer 30 2605 12
"Michael Gregoritsch" "FC Augsburg" "Offensives Mittelfeld" 32 2633 12
"Salomon Kalou" "Hertha BSC" "Linke Außenbahn" 30 2429 11
"Kingsley Coman" "FC Bayern München" "Linke Außenbahn" 21 1441 6
"Jadon Sancho" "Borussia Dortmund" "Linke Außenbahn" 34 2644 11
"Josip Brekalo" "VfL Wolfsburg" "Linke Außenbahn" 25 1515 6
"Yussuf Poulsen" "RB Leipzig" Stürmer 31 2595 10
"Alassane Plea" "B. Mönchengladbach" Stürmer 34 2640 10
"Vedad Ibisevic" "Hertha BSC" Stürmer 28 1878 7
"Jean-Philippe Mateta" "1. FSV Mainz 05" Stürmer 34 2617 9
"Ante Rebic" "Eintracht Frankfurt" Stürmer 28 2098 7
"Mikael Ishak" "1. FC Nürnberg" Stürmer 29 2030 6
"Robert Lewandowski" "FC Bayern München" Stürmer 33 3129 9
