Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18.0,36,0,0.0,3.0,Deutschland
Jean-Kévin Augustin,RasenBallsport Leipzig,Mittelstürmer,17.0,21,0,0.0,3.0,Frankreich & Haiti
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,19,0,0.0,3.0,Türkei
Joshua Kimmich,FC Bayern München,Rechter Verteidiger,34.0,24,14,0.0,2.0,Deutschland
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,24,7,0.0,2.0,Deutschland
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,30,7,0.0,2.0,Chile
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,25,6,0.0,2.0,Deutschland
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,28,6,0.0,2.0,Spanien & Brasilien
Kevin Kampl,RasenBallsport Leipzig,Zentrales Mittelfeld,27.0,28,6,0.0,2.0,Slowenien & Deutschland
Raphaël Guerreiro,Borussia Dortmund,Linkes Mittelfeld,23.0,25,6,0.0,2.0,Portugal & Frankreich
Danny da Costa,Eintracht Frankfurt,Rechter Verteidiger,34.0,25,4,0.0,2.0,Deutschland & Angola
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,31,4,0.0,2.0,Deutschland & Spanien
Achraf Hakimi,Borussia Dortmund,Rechter Verteidiger,21.0,20,4,0.0,2.0,Marokko & Spanien
Javairô Dilrosun,Hertha BSC,Linksaußen,17.0,20,4,0.0,2.0,Niederlande & Suriname
William,VfL Wolfsburg,Rechter Verteidiger,31.0,24,3,0.0,2.0,Brasilien
Nicólas González,VfB Stuttgart,Mittelstürmer,30.0,21,3,0.0,2.0,Argentinien
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,32,2,0.0,2.0,Deutschland
Wendell,Bayer 04 Leverkusen,Linker Verteidiger,28.0,25,2,1.0,2.0,Brasilien
Emiliano Insúa,VfB Stuttgart,Linker Verteidiger,27.0,30,2,0.0,2.0,Argentinien & Spanien
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,30,2,0.0,2.0,Deutschland
Jacob Bruun Larsen,Borussia Dortmund,Linksaußen,24.0,20,2,0.0,2.0,Dänemark
Elvis Rexhbecaj,VfL Wolfsburg,Zentrales Mittelfeld,24.0,21,2,0.0,2.0,Deutschland
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20.0,29,2,0.0,2.0,Deutschland & Benin
Mark Uth,FC Schalke 04,Mittelstürmer,20.0,27,2,0.0,2.0,Deutschland
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,21,2,0.0,2.0,Deutschland & Nigeria
Jean-Philippe Gbamin,1.FSV Mainz 05,Defensives Mittelfeld,31.0,23,1,0.0,2.0,Elfenbeinküste & Frankreich
Nico Elvedi,Borussia Mönchengladbach,Innenverteidiger,30.0,22,1,0.0,2.0,Schweiz
Ja-cheol Koo,FC Augsburg,Zentrales Mittelfeld,26.0,30,1,0.0,2.0,Südkorea
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,22,1,0.0,2.0,Deutschland & Türkei
Matheus Cunha,RasenBallsport Leipzig,Mittelstürmer,25.0,19,1,0.0,2.0,Brasilien
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,28,1,0.0,2.0,Frankreich & Guinea
Christoph Kramer,Borussia Mönchengladbach,Defensives Mittelfeld,18.0,28,1,0.0,2.0,Deutschland
Mathew Leckie,Hertha BSC,Rechtsaußen,18.0,28,1,0.0,2.0,Australien
Niclas Füllkrug,Hannover 96,Mittelstürmer,14.0,26,1,1.0,2.0,Deutschland
Adam Zrelak,1.FC Nürnberg,Mittelstürmer,14.0,24,1,0.0,2.0,Slowakei
Joshua Brenet,TSG 1899 Hoffenheim,Rechter Verteidiger,14.0,25,1,0.0,2.0,Niederlande & Curacao
Raffael,Borussia Mönchengladbach,Hängende Spitze,13.0,34,1,0.0,2.0,Brasilien
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,23,0,0.0,2.0,Deutschland
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,28,0,0.0,2.0,Senegal & Frankreich
Matthias Ginter,Borussia Mönchengladbach,Innenverteidiger,27.0,25,0,0.0,2.0,Deutschland
Georg Margreitter,1.FC Nürnberg,Innenverteidiger,27.0,30,0,0.0,2.0,Österreich
Marc Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,24,0,0.0,2.0,Deutschland
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,28,0,0.0,2.0,Österreich & Serbien
Federico Palacios,1.FC Nürnberg,Mittelstürmer,17.0,24,0,0.0,2.0,Deutschland & Spanien
Florent Muslija,Hannover 96,Offensives Mittelfeld,17.0,20,0,0.0,2.0,Deutschland & Kosovo
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,19,0,0.0,2.0,Frankreich & Elfenbeinküste
Felipe,Hannover 96,Innenverteidiger,17.0,31,0,0.0,2.0,Brasilien & Italien
Ahmed Kutucu,FC Schalke 04,Mittelstürmer,13.0,19,0,0.0,2.0,Türkei & Deutschland
Roland Sallai,SC Freiburg,Linksaußen,10.0,21,0,0.0,2.0,Ungarn
Josh Sargent,SV Werder Bremen,Mittelstürmer,10.0,19,0,0.0,2.0,Vereinigte Staaten
Josip Drmic,Borussia Mönchengladbach,Mittelstürmer,5.0,26,0,0.0,2.0,Schweiz & Kroatien
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,25,7,0.0,1.0,Österreich
Nico Schulz,TSG 1899 Hoffenheim,Linker Verteidiger,30.0,26,6,0.0,1.0,Deutschland
Lukasz Piszczek,Borussia Dortmund,Rechter Verteidiger,20.0,33,6,0.0,1.0,Polen
Ludwig Augustinsson,SV Werder Bremen,Linker Verteidiger,34.0,25,5,0.0,1.0,Schweden
Bastian Oczipka,FC Schalke 04,Linker Verteidiger,21.0,30,5,0.0,1.0,Deutschland
Mitchell Weiser,Bayer 04 Leverkusen,Rechter Verteidiger,30.0,25,4,0.0,1.0,Deutschland
