Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,33.0,,
Lukas Klostermann,RB Leipzig,Rechtsverteidiger,26.0,2141.0,29.0,,
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,19.0,,
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32.0,2904.0,39.0,,
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,36.0,,
Arne Maier,Hertha BSC,Defensives Mittelfeld,24.0,2187.0,29.0,,
Marcel Sabitzer,RB Leipzig,Rechte Außenbahn,30.0,2492.0,33.0,,
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21.0,1520.0,20.0,,
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29.0,1760.0,23.0,,
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,1840.0,24.0,,
Aarón,1. FSV Mainz 05,Linksverteidiger,33.0,3069.0,40.0,,
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,36.0,,
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17.0,1319.0,17.0,,
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,2483.0,32.0,,
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,2255.0,29.0,,
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29.0,2028.0,26.0,,
Daniel Brosinski,1. FSV Mainz 05,Rechtsverteidiger,26.0,2343.0,30.0,,
Mathew Leckie,Hertha BSC,Rechte Außenbahn,18.0,1017.0,13.0,,
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27.0,2206.0,28.0,,
Stefan Posch,TSG 1899 Hoffenheim,Innenverteidiger,17.0,1499.0,19.0,,
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,1994.0,25.0,,
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,25.0,,
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24.0,1872.0,23.0,,
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,2371.0,29.0,,
Hanno Behrens,1. FC Nürnberg,Zentrales Mittelfeld,30.0,2795.0,34.0,,
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,26.0,,
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,22.0,,
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,27.0,,
David Alaba,FC Bayern München,Linksverteidiger,31.0,2688.0,32.0,,
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,31.0,,
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,3047.0,36.0,,
André Hahn,FC Augsburg,Rechte Außenbahn,28.0,2207.0,26.0,,
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23.0,1633.0,19.0,,
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18.0,1118.0,13.0,,
Wendell,Bayer 04 Leverkusen,Linksverteidiger,28.0,2426.0,28.0,,
Denis Zakaria,B. Mönchengladbach,Defensives Mittelfeld,31.0,2088.0,24.0,,
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34.0,3247.0,37.0,,
Leonardo Bittencourt,TSG 1899 Hoffenheim,Linke Außenbahn,21.0,1146.0,13.0,,
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,2132.0,24.0,,
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,36.0,,
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,2612.0,29.0,,
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31.0,2840.0,31.0,,
Danny Latza,1. FSV Mainz 05,Defensives Mittelfeld,24.0,1929.0,21.0,,
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,1567.0,17.0,,
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24.0,1225.0,13.0,,
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,2554.0,27.0,,
Fabian Johnson,B. Mönchengladbach,Linke Außenbahn,18.0,1082.0,11.0,,
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31.0,1592.0,16.0,,
Matheus Pereira,1. FC Nürnberg,Rechte Außenbahn,19.0,1311.0,13.0,,
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25.0,1515.0,15.0,,
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,3267.0,32.0,,
Federico Palacios,1. FC Nürnberg,Stürmer,17.0,1022.0,10.0,,
Karim Bellarabi,Bayer 04 Leverkusen,Rechte Außenbahn,19.0,1131.0,11.0,,
Jacob Bruun Larsen,Borussia Dortmund,Linke Außenbahn,24.0,1350.0,13.0,,
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21.0,1455.0,14.0,,
Linton Maina,Hannover 96,Linke Außenbahn,20.0,1460.0,14.0,,
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15.0,1373.0,13.0,,
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,30.0,,
Nico Schulz,TSG 1899 Hoffenheim,Linksverteidiger,30.0,2711.0,25.0,,
Alexander Esswein,VfB Stuttgart,Rechte Außenbahn,17.0,1303.0,12.0,,
Genki Haraguchi,Hannover 96,Linke Außenbahn,28.0,2285.0,21.0,,
Miiko Albornoz,Hannover 96,Linksverteidiger,22.0,1779.0,16.0,,
Thorgan Hazard,B. Mönchengladbach,Rechte Außenbahn,33.0,3035.0,27.0,,
Lars Stindl,B. Mönchengladbach,Stürmer,21.0,1585.0,14.0,,
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,20.0,,
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,13.0,,
Marco Richter,FC Augsburg,Stürmer,25.0,1510.0,13.0,,
Dennis Aogo,VfB Stuttgart,Linksverteidiger,15.0,1069.0,9.0,,
Benito Raman,Fortuna Düsseldorf,Rechte Außenbahn,30.0,1792.0,15.0,,
Alessandro Schöpf,FC Schalke 04,Offensives Mittelfeld,15.0,1093.0,9.0,,
Gian-Luca Waldschmidt,SC Freiburg,Stürmer,30.0,1830.0,15.0,,
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,22.0,,
Ridle Baku,1. FSV Mainz 05,Zentrales Mittelfeld,15.0,997.0,8.0,,
Javairo Dilrosun,Hertha BSC,Linke Außenbahn,17.0,997.0,8.0,,
Leon Bailey,Bayer 04 Leverkusen,Linke Außenbahn,29.0,2018.0,16.0,,
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,9.0,,
Admir Mehmedi,VfL Wolfsburg,Stürmer,26.0,1786.0,14.0,,
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,1152.0,9.0,,
